,StateName,FullName
SADD,Arkansas,Z M Jack Stell Field
SADD,Arkansas,Ashley County Hospital
SADD,Arkansas,John Ed Chambers Memorial Hospital
SADD,Arkansas,Danville Muni
SADD,Arkansas,Dardanelle Hospital
SADD,Arkansas,Crystal Lake
SADD,Arkansas,Taylor's Air Strip
SADD,Arkansas,J Lynn Helms Sevier County
SADD,Arkansas,Community Hospital Of De Queen
SADD,Arkansas,Dermott Muni
SADD,Arkansas,Taylor Airstrip
SADD,Arkansas,De Witt City Hospital
SADD,Arkansas,De Witt Muni
SADD,Arkansas,Landers Loop
SADD,Arkansas,Billy Free Muni
SADD,Arkansas,Mc Neely
SADD,Arkansas,El Dorado Downtown-Stevens Field
SADD,Arkansas,Warner Brown Hospital
SADD,Arkansas,Union Medical Center
SADD,Arkansas,South Arkansas Rgnl At Goodwin Field
SADD,Arkansas,Cypress Creek Airpark
SADD,Arkansas,Bredlow Farm
SADD,Arkansas,Ward's
SADD,Arkansas,Eureka Springs Hospital
SADD,Arkansas,Flying Machines Airstrip
SADD,Arkansas,Silver Wings Field
SADD,Arkansas,Hammer Field
SADD,Arkansas,Buck Mountain
SADD,Arkansas,Black Horse Landing
SADD,Arkansas,Drake Field
SADD,Arkansas,Northwest Arkansas Rgnl
SADD,Arkansas,Wedington Woods
SADD,Arkansas,Henson Farm
SADD,Arkansas,Veterans Administration
SADD,Arkansas,Washington Rgnl Landing
SADD,Arkansas,Marion County Rgnl
SADD,Arkansas,Thunder Ridge Ranch
SADD,Arkansas,Pine Mountain Airpark
SADD,Arkansas,Fordyce Muni
SADD,Arkansas,Dallas County Medical Center
SADD,Arkansas,Forrest City Muni
SADD,Arkansas,Forrest City Medical Center
SADD,Arkansas,Rice-Bell Field
SADD,Arkansas,Arrowhead Assault Strip
SADD,Arkansas,Fort Smith Rgnl
SADD,Arkansas,St Edward Mercy Medical Center
SADD,Arkansas,Sparks Rgnl Medical Center
SADD,Arkansas,Lost Bridge Village
SADD,Arkansas,Cherokee Strip
SADD,Arkansas,Randal Field
SADD,Arkansas,Ozarks Community Hospital
SADD,Arkansas,Bella Vista Field
SADD,Arkansas,Arkavalley
SADD,Arkansas,Ira's Airstrip
SADD,Arkansas,Diamond Bluff
SADD,Arkansas,Verser's Landing
SADD,Arkansas,Skypoint Estates
SADD,Arkansas,Phalanx
SADD,Arkansas,David Stanley Memorial
SADD,Arkansas,Galloway Farms
SADD,Arkansas,Tripp Strip
SADD,Arkansas,Gurdon Lowe Field
SADD,Arkansas,Beech Creek
SADD,Arkansas,Rak
SADD,Arkansas,Hampton Muni
SADD,Arkansas,Boone County
SADD,Arkansas,North Arkansas Medical Center
SADD,Arkansas,Ridgeway Field
SADD,Arkansas,Hazen Muni
SADD,Arkansas,Hazen
SADD,Arkansas,Greenwalt Company
SADD,Arkansas,Skarda/Tollville
SADD,Arkansas,River Acres
SADD,Arkansas,Baptist Health Medical Center-Heber Spring
SADD,Arkansas,Heber Springs Muni
SADD,Arkansas,Thompson-Robbins
SADD,Arkansas,Helena Hospital
SADD,Arkansas,The Bluffs
SADD,Arkansas,Bondair
SADD,Arkansas,Island Health Clinic
SADD,Arkansas,Holly Grove Muni
SADD,Arkansas,Hope Muni
SADD,Arkansas,Medical Park Hospital
SADD,Arkansas,Horseshoe Bend
SADD,Arkansas,St. Joseph's Mercy
SADD,Arkansas,Ami National Park Medical Center
SADD,Arkansas,Memorial Field
SADD,Arkansas,Tucker Field
SADD,Arkansas,Huntsville Muni
SADD,Arkansas,Perrys
SADD,Arkansas,Little Rock Afb
SADD,Arkansas,Willow Creek Women's Hospital
SADD,Arkansas,Jonesboro Muni
SADD,Arkansas,Nea Baptist Hospital
SADD,Arkansas,Rgnl Medical Center
SADD,Arkansas,Classic Airstrip
SADD,Arkansas,Ozark Skies Airpark
SADD,Arkansas,Gastons
SADD,Arkansas,Lake Village Muni
SADD,Arkansas,Chicot Memorial Hospital
SADD,Arkansas,Flying W Air Park Inc
SADD,Arkansas,Gillespie Strip
SADD,Arkansas,Bill And Hillary Clinton National/Adams Field
SADD,Arkansas,Uams
SADD,Arkansas,Med Flight
SADD,Arkansas,St Vincent Infirmary
SADD,Arkansas,Southwest Hospital
SADD,Arkansas,Stephens
SADD,Arkansas,University Hospital
SADD,Arkansas,Arkansas Heart Hospital
SADD,Arkansas,Crystal Ridge
SADD,Arkansas,Arkansas Children's Hospital
SADD,Arkansas,Punkin Patch Field
SADD,Arkansas,Country Air Estates
SADD,Arkansas,Bully Henry
SADD,Arkansas,Bryan Field
SADD,Arkansas,Circle S Farms
SADD,Arkansas,Taylor Field
SADD,Arkansas,Griffin Ag
SADD,Arkansas,Magnolia Muni
SADD,Arkansas,Magnolia Rgnl Medical Center
SADD,Arkansas,Malvern Muni
SADD,Arkansas,Hscmh
SADD,Arkansas,Manila Muni
SADD,Arkansas,Frost Flying Inc
SADD,Arkansas,Marianna/Lee County-Steve Edwards Field
SADD,Arkansas,Marked Tree Muni
SADD,Arkansas,Woodbridge Field
SADD,Arkansas,Searcy County
SADD,Arkansas,Gibbons
SADD,Arkansas,Pine Village
SADD,Arkansas,Penrose
SADD,Arkansas,Mc Crory/Morton
SADD,Arkansas,Mc Gehee Muni
SADD,Arkansas,Mc Gehee Desha County Hospital
SADD,Arkansas,Melbourne Muni - John E Miller Field
SADD,Arkansas,Mabry Field
SADD,Arkansas,Mena Intermountain Muni
SADD,Arkansas,Glenn Winchester
SADD,Arkansas,Monticello Muni/Ellis Field
SADD,Arkansas,Drew Memorial Hospital
SADD,Arkansas,Morrilton Muni
SADD,Arkansas,Brickey Pvt
SADD,Arkansas,St Anthony's Medical Center
SADD,Arkansas,Morrilton
SADD,Arkansas,Petit Jean Park
SADD,Arkansas,Baxter County
SADD,Arkansas,Baxter County Rgnl Hospital
SADD,Arkansas,Baxter County Sheriffs
SADD,Arkansas,Mountain View Wilcox Memorial Field
SADD,Arkansas,Stone County Medical Center
SADD,Arkansas,Bearce
SADD,Arkansas,Pike County Hospital
SADD,Arkansas,Howard Memorial Hospital
SADD,Arkansas,Howard County
SADD,Arkansas,Naylor Field
SADD,Arkansas,Newport Muni
SADD,Arkansas,Harris Hospital And Clinic
SADD,Arkansas,Haigwood Landing Strip
SADD,Arkansas,North Little Rock Muni
SADD,Arkansas,R.V. Stewart Field
SADD,Arkansas,Totty Field
SADD,Arkansas,Amos
SADD,Arkansas,Smc Rgnl Medical Center
SADD,Arkansas,Osceola Muni
SADD,Arkansas,Ozark-Franklin County
SADD,Arkansas,Burns Aerodrome
SADD,Arkansas,Kirk Field
SADD,Arkansas,Hog Air Aviation Inc
SADD,Arkansas,Arkansas Methodist Hospital
SADD,Arkansas,Paris Muni
SADD,Arkansas,Wesson-Davis Field
SADD,Arkansas,Piggott Muni
SADD,Arkansas,Piggott Community Hospital
SADD,Arkansas,Grider Field
SADD,Arkansas,Jrmc
SADD,Arkansas,Pocahontas Muni
SADD,Arkansas,Five Rivers Medical Center
SADD,Arkansas,Ark-Mo
SADD,Arkansas,Kizer Field
SADD,Arkansas,Head Airfield
SADD,Arkansas,Rector
SADD,Arkansas,Rogers Muni-Carter Field
SADD,Arkansas,Medi-Port
SADD,Arkansas,Ozark Aerodrome
SADD,Arkansas,Mc Donald's Strip
SADD,Arkansas,Russellville Rgnl
SADD,Arkansas,St Mary's Rgnl Medical Center
SADD,Arkansas,Davidson Field
SADD,Arkansas,Salem
SADD,Arkansas,Fulton County Hospital
SADD,Arkansas,Searcy Muni
SADD,Arkansas,White County Medical Center
SADD,Arkansas,White County Medical Center
SADD,Arkansas,Honey Hill
SADD,Arkansas,"Fly ""N"" K"
SADD,Arkansas,Brown's
SADD,Arkansas,Sheridan Muni
SADD,Arkansas,Tommy's Flying Service Inc
SADD,Arkansas,Smith's Intl
SADD,Arkansas,Robert Chris Mc Intosh
SADD,Arkansas,Smith Field
SADD,Arkansas,Siloam Springs Memorial Hospital
SADD,Arkansas,Williams Field
SADD,Arkansas,Springdale Muni
SADD,Arkansas,Smh
SADD,Arkansas,Heifer Creek Ranch
SADD,Arkansas,Star City Muni
SADD,Arkansas,Wilson
SADD,Arkansas,Stuttgart Memorial Hospital
SADD,Arkansas,Stuttgart Muni
SADD,Arkansas,Texarkana Rgnl-Webb Field
SADD,Arkansas,Flying W
SADD,Arkansas,St Michael Hospital
SADD,Arkansas,Tillar
SADD,Arkansas,Flying G Ranch
SADD,Arkansas,Turrell Flying Service
SADD,Arkansas,Crawford Memorial Hospital
SADD,Arkansas,Air Evac Lifeteam 30
SADD,Arkansas,Waldron Muni
SADD,Arkansas,Walnut Ridge Rgnl
SADD,Arkansas,Lawrence Memorial
SADD,Arkansas,Warren Muni
SADD,Arkansas,Bradley County Medical Center
SADD,Arkansas,Yancopin
SADD,Arkansas,Sally Wofford
SADD,Arkansas,Keller Airfield
SADD,Arkansas,Lollars Creek Farm
SADD,Arkansas,West Memphis Muni
SADD,Arkansas,Crittenden Rgnl Hospital
SADD,Arkansas,Hickory Ridge
SADD,Arkansas,Johnson Memorial
SADD,Arkansas,Tango 7
SADD,Arkansas,Hess Strip
SADD,Arkansas,Cross Ridge Community Hospital
SADD,Arkansas,Wynne Muni
SADD,Arkansas,Pine Mountain
SADD,American Samoa,Fitiuta
SADD,American Samoa,Ofu
SADD,American Samoa,Pago Pago Intl
SADD,American Samoa,Tau
SADD,Arizona,Flying Dare's Ranch
SADD,Arizona,Eagle Roost Airpark
SADD,Arizona,Sampley's
SADD,Arizona,Hillair Dirt Strip
SADD,Arizona,Eric Marcus Muni
SADD,Arizona,Gila Compressor Station
SADD,Arizona,Bagdad
SADD,Arizona,Benson
SADD,Arizona,Benson Muni
SADD,Arizona,Bisbee Muni
SADD,Arizona,Copper Queen Hospital
SADD,Arizona,Black Canyon City Medical Center
SADD,Arizona,Jalapeno Ranch
SADD,Arizona,Pierce
SADD,Arizona,Lakeside Airpark
SADD,Arizona,Buckeye Muni
SADD,Arizona,Western Arizona Rgnl Medical Center
SADD,Arizona,Laughlin/Bullhead Intl
SADD,Arizona,Sun Valley
SADD,Arizona,Willow Springs Ranch
SADD,Arizona,Eagle Airpark
SADD,Arizona,Montezuma
SADD,Arizona,Yat
SADD,Arizona,Yolo Ranch
SADD,Arizona,The Boulders
SADD,Arizona,Sky Ranch At Carefree
SADD,Arizona,Horseshoe Dam
SADD,Arizona,Bartlett Dam
SADD,Arizona,Casa Grande Muni
SADD,Arizona,Stellar Airpark
SADD,Arizona,Gila River Memorial
SADD,Arizona,Jeppesen Ranch
SADD,Arizona,Chandler Rgnl Medical Center
SADD,Arizona,Chandler Muni
SADD,Arizona,Chinle Muni
SADD,Arizona,Robin
SADD,Arizona,H&H Ranch Airstrip
SADD,Arizona,Cibecue
SADD,Arizona,Greenlee County
SADD,Arizona,Colorado City Muni
SADD,Arizona,Continental
SADD,Arizona,Valley Farms
SADD,Arizona,Coolidge Muni
SADD,Arizona,Sarita
SADD,Arizona,Cottonwood
SADD,Arizona,Marcus J Lawrence Medical Center
SADD,Arizona,Coyote Run
SADD,Arizona,Morton Field
SADD,Arizona,Dateland Airfield
SADD,Arizona,Douglas Muni
SADD,Arizona,Circle H Ranch
SADD,Arizona,Cochise College
SADD,Arizona,Bisbee Douglas Intl
SADD,Arizona,Eloy Muni
SADD,Arizona,Flagstaff Pulliam
SADD,Arizona,Flagstaff Mall
SADD,Arizona,Flagstaff Medical Center East No. 2
SADD,Arizona,Sierra Vista Muni-Libby Aaf
SADD,Arizona,Regeneration
SADD,Arizona,Goldfield Ranch
SADD,Arizona,Gila Bend Muni
SADD,Arizona,Gila Bend Af Aux
SADD,Arizona,Pixley-Richards Gilbert
SADD,Arizona,Gilbert Emergency Hospital
SADD,Arizona,Mercy Gilbert Medical Center
SADD,Arizona,Airscrew Performance Flightpark
SADD,Arizona,Glendale Muni
SADD,Arizona,Banner Thunderbird Medical Center
SADD,Arizona,Luke Afb
SADD,Arizona,San Carlos Apache
SADD,Arizona,Mormon Flat Dam
SADD,Arizona,Horse Mesa Nr 1
SADD,Arizona,Horse Mesa Dam Nr 2
SADD,Arizona,Stewart Mountain Dam
SADD,Arizona,West Valley Medical Center
SADD,Arizona,Phoenix Goodyear
SADD,Arizona,Grand Canyon National Park
SADD,Arizona,Valle
SADD,Arizona,Ruby Star Airpark
SADD,Arizona,Music Mountain Air Ranch
SADD,Arizona,Wisky Ranch/Chevlon
SADD,Arizona,Thompson Intl Aviation
SADD,Arizona,Holbrook Muni
SADD,Arizona,Whetstone
SADD,Arizona,Four Pillars
SADD,Arizona,Kayenta
SADD,Arizona,Peabody Bedard Field
SADD,Arizona,Kearny
SADD,Arizona,Kingman
SADD,Arizona,Dunton Ranch
SADD,Arizona,X Bar 1 Ranch (Lower)
SADD,Arizona,Parsons Field
SADD,Arizona,China Peak Observatory
SADD,Arizona,Av Ranch
SADD,Arizona,Sagebrush Trails Estates
SADD,Arizona,Lake Havasu City
SADD,Arizona,Sergio Private
SADD,Arizona,Havasu Samaritan Rgnl Hospital
SADD,Arizona,Spawr
SADD,Arizona,Hangar Haciendas
SADD,Arizona,Coyner Airstrip
SADD,Arizona,Taylor Field
SADD,Arizona,The Ultralight Strip
SADD,Arizona,Pinal Airpark
SADD,Arizona,Cliff Dwellers
SADD,Arizona,Marble Canyon
SADD,Arizona,Mel's Ranch
SADD,Arizona,Schu Ranch
SADD,Arizona,Serene Field
SADD,Arizona,Donnelly Residence
SADD,Arizona,Boulais Ranch
SADD,Arizona,U Of A Maricopa Ag Center
SADD,Arizona,Ak-Chin
SADD,Arizona,Farms
SADD,Arizona,Millar
SADD,Arizona,Estrella Sailport
SADD,Arizona,Hidden Valley
SADD,Arizona,Tribal Air
SADD,Arizona,Pearce Ferry
SADD,Arizona,Falcon Fld
SADD,Arizona,Banner Desert Medical Center
SADD,Arizona,At&T - Apache Junction
SADD,Arizona,Jsj
SADD,Arizona,Boeing
SADD,Arizona,Banner Baywood Medical Center
SADD,Arizona,Turf
SADD,Arizona,Mesa Police
SADD,Arizona,Maricopa County Sheriff's Office
SADD,Arizona,Flying Bucket Ranch
SADD,Arizona,Motown
SADD,Arizona,Mobile
SADD,Arizona,Castle Well
SADD,Arizona,Ranta Strip
SADD,Arizona,Roesner Ranch
SADD,Arizona,Thunder Ridge Airpark
SADD,Arizona,Nogales Intl
SADD,Arizona,Horizon
SADD,Arizona,Mogollon Airpark
SADD,Arizona,Sandhill Ranch
SADD,Arizona,Page Muni
SADD,Arizona,Paloma Ranch
SADD,Arizona,Evelyn Field
SADD,Arizona,Avi Suquilla
SADD,Arizona,Lapaz Rgnl Hospital
SADD,Arizona,Pilots Rest
SADD,Arizona,Payson
SADD,Arizona,Grand Canyon West
SADD,Arizona,183 Mile
SADD,Arizona,Grand Canyon Caverns
SADD,Arizona,Hualapai
SADD,Arizona,Grand Canyon West-1
SADD,Arizona,Grand Canyon West-2
SADD,Arizona,Ash Creek
SADD,Arizona,Rancho Relaxo
SADD,Arizona,Pleasant Valley
SADD,Arizona,New Waddell Dam
SADD,Arizona,Phoenix Area
SADD,Arizona,Westcor Home Office
SADD,Arizona,Asi
SADD,Arizona,Ktsp
SADD,Arizona,Phoenix Baptist Hospital
SADD,Arizona,Police & Public Safety Building
SADD,Arizona,Good Samaritan Hospital
SADD,Arizona,Southern Command Police Station
SADD,Arizona,United Bank Plaza
SADD,Arizona,Westridge Mall
SADD,Arizona,Knoell-Main Office
SADD,Arizona,Maricopa Medical Center
SADD,Arizona,Good Samaritan Medical Center
SADD,Arizona,Inn Place Hotel
SADD,Arizona,Phoenix Deer Valley
SADD,Arizona,Paradise Valley Hosp Emerg Dept
SADD,Arizona,Biltmore Golf Course
SADD,Arizona,John C. Lincoln Helistop
SADD,Arizona,Sunstate
SADD,Arizona,St Joseph's Hospital
SADD,Arizona,John C Lincoln Deer Valley Hospital
SADD,Arizona,Helicopter Transport Inc/Office
SADD,Arizona,Abacus Tower
SADD,Arizona,Gateway East Knxv Tv
SADD,Arizona,Arizona Heart Hospital
SADD,Arizona,Ak-Chin Rgnl
SADD,Arizona,Phoenix Children's Hospital
SADD,Arizona,Papago Ahp
SADD,Arizona,Phoenix-Mesa Gateway
SADD,Arizona,Phoenix Sky Harbor Intl
SADD,Arizona,Picacho Stagefield
SADD,Arizona,Flying J Ranch
SADD,Arizona,Polacca
SADD,Arizona,Mystery Well Ranch
SADD,Arizona,Lizzy Lizard
SADD,Arizona,Ernest A. Love Field
SADD,Arizona,Big Springs Ranch
SADD,Arizona,Versatile
SADD,Arizona,Adams Place
SADD,Arizona,Yavapai Rgnl Medical Center East
SADD,Arizona,Quail Mesa Ranch
SADD,Arizona,Pegasus Airpark
SADD,Arizona,Rittenhouse Army Heliport
SADD,Arizona,Twin Hawks Airpark
SADD,Arizona,Rimrock
SADD,Arizona,Rocky Ridge
SADD,Arizona,Roosevelt Dam
SADD,Arizona,Tonto Ranger Station
SADD,Arizona,Safford Rgnl
SADD,Arizona,Arizona State Prison - Safford
SADD,Arizona,Mount Graham Rgnl Medical Center
SADD,Arizona,Stronghold
SADD,Arizona,St Johns Industrial Air Park
SADD,Arizona,Indian Hills Airpark
SADD,Arizona,Western Sky Airpark
SADD,Arizona,Sheepy Hollow Ranch
SADD,Arizona,San Carlos
SADD,Arizona,Rolle Airfield
SADD,Arizona,San Manuel
SADD,Arizona,Scottsdale
SADD,Arizona,Scottsdale Healthcare Thompson Peak Hosp
SADD,Arizona,Scottsdale Memorial Hospital-North
SADD,Arizona,Lyon Aviation Rooftop
SADD,Arizona,Lyon Aviation South Ramp
SADD,Arizona,Lyon Aviation Ramp Area
SADD,Arizona,Hangar 5
SADD,Arizona,Sedona
SADD,Arizona,Sedona Medical Campus
SADD,Arizona,Seligman
SADD,Arizona,X-1 Ranch Upper Headquarters
SADD,Arizona,Sells
SADD,Arizona,White Mountain
SADD,Arizona,Show Low Rgnl
SADD,Arizona,White Mountain Lake
SADD,Arizona,Summit Healthcare Rgnl Medical Center
SADD,Arizona,Sierra Vista Rgnl Health Center
SADD,Arizona,Yav'pe Ma'ta
SADD,Arizona,High Mesa Airpark
SADD,Arizona,Somerton
SADD,Arizona,C & L Ranch
SADD,Arizona,Springerville Muni
SADD,Arizona,Potters Field
SADD,Arizona,Walter Ranch
SADD,Arizona,G.M. Ranch
SADD,Arizona,Carranza Farm Airstrip
SADD,Arizona,Boswell Memorial Hospital
SADD,Arizona,C. Andrew Laird
SADD,Arizona,Banner Del E Webb Medical Center
SADD,Arizona,Lava Falls
SADD,Arizona,Superior Muni
SADD,Arizona,Moulder
SADD,Arizona,Taylor
SADD,Arizona,Tempe St. Luke's Hospital
SADD,Arizona,The Buttes In Tempe
SADD,Arizona,Cross Cut
SADD,Arizona,Temple Bar
SADD,Arizona,Boulais
SADD,Arizona,S R P Tolleson Center
SADD,Arizona,Tombstone Muni
SADD,Arizona,Fort Omotse
SADD,Arizona,Toon Tail
SADD,Arizona,Mauldin Airstrip
SADD,Arizona,Tonopah
SADD,Arizona,Eagletail Ranch
SADD,Arizona,Mtas 1
SADD,Arizona,Waltenberry Field
SADD,Arizona,Tuba City
SADD,Arizona,Rancho San Marcos
SADD,Arizona,Ina Road
SADD,Arizona,Tucson Medical Center
SADD,Arizona,Pima County Sheriff's
SADD,Arizona,Saguaro
SADD,Arizona,University Medical Center Hospital
SADD,Arizona,Rgnl Public Safety Training Academy
SADD,Arizona,Flying Diamond
SADD,Arizona,Palm Valley Tucson
SADD,Arizona,Marana Rgnl
SADD,Arizona,St Mary's Helistop
SADD,Arizona,El Tiro
SADD,Arizona,Tucson Intl
SADD,Arizona,Davis Monthan Afb
SADD,Arizona,La Cholla Airpark
SADD,Arizona,Ryan Field
SADD,Arizona,Madison Aviation
SADD,Arizona,Wood's Airstrip
SADD,Arizona,Outback Ranch Airstrip
SADD,Arizona,Triangle Airpark
SADD,Arizona,Whiteriver
SADD,Arizona,Grand Canyon Bar Ten Airstrip
SADD,Arizona,Moreton Airpark
SADD,Arizona,Rio Vista Hills
SADD,Arizona,Toyota Arizona Proving Ground
SADD,Arizona,Wickenburg Muni
SADD,Arizona,Northern Cochise Community Hospital
SADD,Arizona,Ammon
SADD,Arizona,Inde Motorsports Ranch
SADD,Arizona,Leroy
SADD,Arizona,Cochise County
SADD,Arizona,H.A. Clark Memorial Field
SADD,Arizona,Sunrise Ranch
SADD,Arizona,Window Rock
SADD,Arizona,Winslow-Lindbergh Rgnl
SADD,Arizona,Palo Verde Nuclear Generating Station
SADD,Arizona,Pleasant Valley Airstrip
SADD,Arizona,Chapman Ranch Airstrip
SADD,Arizona,Massey Farm
SADD,Arizona,Yuma Mcas/Yuma Intl
SADD,Arizona,Yuma Rgnl Medical Center
SADD,Arizona,Laguna Aaf (Yuma Proving Ground)
SADD,Arizona,Castle Dome Ahp
SADD,California,Vincent Substation
SADD,California,Krey Field
SADD,California,Hansen
SADD,California,Ipp Adelanto
SADD,California,Adelanto
SADD,California,Adin
SADD,California,Agua Caliente Springs
SADD,California,Agua Dulce
SADD,California,Camp 11
SADD,California,Ward Ranch
SADD,California,Santa Fe Intl Corp
SADD,California,Sce Energy Control Center
SADD,California,Mission Viejo Company Helistop
SADD,California,On The Rocks
SADD,California,Alturas Muni
SADD,California,Wesinger Ranch
SADD,California,California Pines
SADD,California,Bates Field
SADD,California,Northrop Anaheim
SADD,California,North Net Fire Training
SADD,California,Orange County Steel Salvage
SADD,California,Kaiser Permanente Anaheim Medical Center
SADD,California,R I An Anaheim Helistop G/L B/201
SADD,California,Boeing Anaheim B/250
SADD,California,Lofty Redwoods
SADD,California,Mother Lode Service Center
SADD,California,Angwin-Parrett Field
SADD,California,Lake Riverside Estates
SADD,California,William E Poole
SADD,California,Apple Valley
SADD,California,Holiday Ranch
SADD,California,St Mary Desert Valley Hospital
SADD,California,Mc Cabe Ranch
SADD,California,Arcata
SADD,California,Creekside
SADD,California,Johnston Field
SADD,California,Auberry Hydro Service Center
SADD,California,Auburn Muni
SADD,California,Auburn Cal Fire
SADD,California,Catalina
SADD,California,Pebbly Beach
SADD,California,Avenal
SADD,California,Baker
SADD,California,Bakersfield Muni
SADD,California,San Joaquin Community Hospital
SADD,California,Kern Medical Center
SADD,California,Memorial Hospital
SADD,California,Skydive San Joaquin Valley
SADD,California,Majors
SADD,California,Meadows Field
SADD,California,Paradise Lakes
SADD,California,Balch Camp
SADD,California,Banning Muni
SADD,California,San Gorgonio Memorial Hospital
SADD,California,Ludlow
SADD,California,Barstow Community Hospital
SADD,California,Ord Mountain
SADD,California,Barstow Service Center
SADD,California,Goldstone /Gts/
SADD,California,Bear Valley
SADD,California,Nervino
SADD,California,Rodgers Flat
SADD,California,Southard Field
SADD,California,Big Bear City
SADD,California,Bear Valley Hospital
SADD,California,Big Creek Helistop
SADD,California,Jones/Ag-Viation
SADD,California,Eastern Sierra Rgnl
SADD,California,Inyo County Sheriff Search & Rescue
SADD,California,North Valley
SADD,California,Cyr Aviation
SADD,California,Clayton
SADD,California,W R Byron
SADD,California,Blythe Service Center
SADD,California,Blythe
SADD,California,Boonville
SADD,California,Borax
SADD,California,Boron Airstrip
SADD,California,Borrego Valley
SADD,California,Borrego Air Ranch
SADD,California,Brawley Muni
SADD,California,Pioneers Memorial Hospital
SADD,California,Funny Farm
SADD,California,Bryant Field
SADD,California,Mono County Medical
SADD,California,Mcmwtc
SADD,California,Brownsville
SADD,California,Chp Academy
SADD,California,Bob Hope
SADD,California,St Joseph Medical Center
SADD,California,Nbc-Tv
SADD,California,Burney Sheriff's Station
SADD,California,Burney Service Center
SADD,California,Elk Hills-Buttonwillow
SADD,California,Byron
SADD,California,Cadiz Airstrip
SADD,California,Station 125
SADD,California,Lost Hills Sheriff's Station
SADD,California,Calexico Intl
SADD,California,Flying S Ranch
SADD,California,California City Muni
SADD,California,Cliff Hatfield Memorial
SADD,California,Totem Pole Ranch
SADD,California,Camarillo
SADD,California,Rancho San Simeon
SADD,California,Cameron Airpark
SADD,California,High Hill Ranch
SADD,California,Roberts Ahp
SADD,California,Mc Millan
SADD,California,O'sullivan Ahp
SADD,California,Hughes/Canoga Park
SADD,California,Boeing De Soto
SADD,California,G3 Ranch
SADD,California,Mc Clellan-Palomar
SADD,California,Mercy San Juan Hospital
SADD,California,Platform Hillhouse
SADD,California,Platform Henry
SADD,California,Texaco Platform Habitat
SADD,California,Goodyear Blimp Base
SADD,California,Carson Sheriff Station
SADD,California,Al Divine
SADD,California,Castaic Dam
SADD,California,Sutter Medical Center Castro Valley
SADD,California,Sce Palm Springs District
SADD,California,Cedarville
SADD,California,Los Angeles Times - Northridge
SADD,California,Great Western Helistop
SADD,California,Chemehuevi Valley
SADD,California,Rogers Field
SADD,California,Usfs Chester
SADD,California,Chico Muni
SADD,California,Enloe Hospital
SADD,California,Butte Creek Hog Ranch
SADD,California,Johnsen
